01-06-2023 18:29:03 404 - 13.615934ms GET /  Wget -
01-06-2023 18:38:13 404 - 1.957342ms GET /  curl/8.1.2 -
01-06-2023 18:38:14 404 - 1.780947ms GET /  curl/8.1.2 -
01-06-2023 18:38:18 404 - 1.856733ms GET /  curl/8.1.2 -
01-06-2023 19:52:46 400 - 19.437374ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:28:37 400 - 52.702438ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:28:45 400 - 30.641646ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:30:09 400 - 65.469738ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:30:17 400 - 29.655964ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:32:50 400 - 33.142788ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:35:19 200 - 40.051692ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:37:37 200 - 42.74715ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:49:07 500 - 37.312834ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:50:59 200 - 45.791342ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:51:00 200 - 51.987834ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:51:01 200 - 36.218254ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:53:40 200 - 42.644927ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:53:42 200 - 34.764898ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:53:42 200 - 36.981485ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:53:43 200 - 36.099291ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:53:43 200 - 49.686311ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:53:43 200 - 40.966562ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:53:43 200 - 32.68841ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:53:43 200 - 51.994699ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:57:35 200 - 44.793598ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:10:25 200 - 52.154754ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:10:33 200 - 51.794533ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:10:33 200 - 52.294933ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:10:33 200 - 59.914938ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 21:19:10 200 - 45.632272ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
